name	type	units	sampling_frequency	description
MRF25	MEGGRADAXIAL	T	600	N/A
MRF31	MEGGRADAXIAL	T	600	N/A
MRF32	MEGGRADAXIAL	T	600	N/A
MRF33	MEGGRADAXIAL	T	600	N/A
MRF34	MEGGRADAXIAL	T	600	N/A
MRF35	MEGGRADAXIAL	T	600	N/A
MRF41	MEGGRADAXIAL	T	600	N/A
MRF42	MEGGRADAXIAL	T	600	N/A
MRF44	MEGGRADAXIAL	T	600	N/A
MRF45	MEGGRADAXIAL	T	600	N/A
MRF46	MEGGRADAXIAL	T	600	N/A
MRF51	MEGGRADAXIAL	T	600	N/A
MRF52	MEGGRADAXIAL	T	600	N/A
MRF53	MEGGRADAXIAL	T	600	N/A
MRF54	MEGGRADAXIAL	T	600	N/A
MRF55	MEGGRADAXIAL	T	600	N/A
MRF56	MEGGRADAXIAL	T	600	N/A
MRF61	MEGGRADAXIAL	T	600	N/A
MRF62	MEGGRADAXIAL	T	600	N/A
MRF63	MEGGRADAXIAL	T	600	N/A
MRF64	MEGGRADAXIAL	T	600	N/A
MRF65	MEGGRADAXIAL	T	600	N/A
MRF66	MEGGRADAXIAL	T	600	N/A
MRF67	MEGGRADAXIAL	T	600	N/A
MRO11	MEGGRADAXIAL	T	600	N/A
MRO12	MEGGRADAXIAL	T	600	N/A
MRO14	MEGGRADAXIAL	T	600	N/A
MRO21	MEGGRADAXIAL	T	600	N/A
MRO22	MEGGRADAXIAL	T	600	N/A
MRO23	MEGGRADAXIAL	T	600	N/A
MRO24	MEGGRADAXIAL	T	600	N/A
MRO31	MEGGRADAXIAL	T	600	N/A
MRO32	MEGGRADAXIAL	T	600	N/A
MRO33	MEGGRADAXIAL	T	600	N/A
MRO34	MEGGRADAXIAL	T	600	N/A
MRO41	MEGGRADAXIAL	T	600	N/A
MRO42	MEGGRADAXIAL	T	600	N/A
MRO43	MEGGRADAXIAL	T	600	N/A
MRO44	MEGGRADAXIAL	T	600	N/A
MRO51	MEGGRADAXIAL	T	600	N/A
MRO52	MEGGRADAXIAL	T	600	N/A
MRO53	MEGGRADAXIAL	T	600	N/A
MRP11	MEGGRADAXIAL	T	600	N/A
MRP12	MEGGRADAXIAL	T	600	N/A
MRP21	MEGGRADAXIAL	T	600	N/A
MRP22	MEGGRADAXIAL	T	600	N/A
MRP23	MEGGRADAXIAL	T	600	N/A
MRP31	MEGGRADAXIAL	T	600	N/A
MRP32	MEGGRADAXIAL	T	600	N/A
MRP33	MEGGRADAXIAL	T	600	N/A
MRP34	MEGGRADAXIAL	T	600	N/A
MRP35	MEGGRADAXIAL	T	600	N/A
MRP41	MEGGRADAXIAL	T	600	N/A
MRP42	MEGGRADAXIAL	T	600	N/A
MRP43	MEGGRADAXIAL	T	600	N/A
MRP44	MEGGRADAXIAL	T	600	N/A
MRP45	MEGGRADAXIAL	T	600	N/A
MRP51	MEGGRADAXIAL	T	600	N/A
MRP52	MEGGRADAXIAL	T	600	N/A
MRP53	MEGGRADAXIAL	T	600	N/A
MRP54	MEGGRADAXIAL	T	600	N/A
MRP55	MEGGRADAXIAL	T	600	N/A
MRP56	MEGGRADAXIAL	T	600	N/A
MRP57	MEGGRADAXIAL	T	600	N/A
MRT11	MEGGRADAXIAL	T	600	N/A
MRT12	MEGGRADAXIAL	T	600	N/A
MRT13	MEGGRADAXIAL	T	600	N/A
MRT14	MEGGRADAXIAL	T	600	N/A
MRT15	MEGGRADAXIAL	T	600	N/A
MRT16	MEGGRADAXIAL	T	600	N/A
MRT21	MEGGRADAXIAL	T	600	N/A
MRT22	MEGGRADAXIAL	T	600	N/A
MRT23	MEGGRADAXIAL	T	600	N/A
MRT24	MEGGRADAXIAL	T	600	N/A
MRT25	MEGGRADAXIAL	T	600	N/A
MRT26	MEGGRADAXIAL	T	600	N/A
MRT27	MEGGRADAXIAL	T	600	N/A
MRT31	MEGGRADAXIAL	T	600	N/A
MRT32	MEGGRADAXIAL	T	600	N/A
MRT33	MEGGRADAXIAL	T	600	N/A
MRT34	MEGGRADAXIAL	T	600	N/A
MRT35	MEGGRADAXIAL	T	600	N/A
MRT36	MEGGRADAXIAL	T	600	N/A
MRT37	MEGGRADAXIAL	T	600	N/A
MRT41	MEGGRADAXIAL	T	600	N/A
MRT42	MEGGRADAXIAL	T	600	N/A
MRT43	MEGGRADAXIAL	T	600	N/A
MRT44	MEGGRADAXIAL	T	600	N/A
MRT45	MEGGRADAXIAL	T	600	N/A
MRT46	MEGGRADAXIAL	T	600	N/A
MRT47	MEGGRADAXIAL	T	600	N/A
MRT51	MEGGRADAXIAL	T	600	N/A
MRT52	MEGGRADAXIAL	T	600	N/A
MRT53	MEGGRADAXIAL	T	600	N/A
MRT54	MEGGRADAXIAL	T	600	N/A
MRT55	MEGGRADAXIAL	T	600	N/A
MRT56	MEGGRADAXIAL	T	600	N/A
MRT57	MEGGRADAXIAL	T	600	N/A
MZC01	MEGGRADAXIAL	T	600	N/A
MZC02	MEGGRADAXIAL	T	600	N/A
MZC03	MEGGRADAXIAL	T	600	N/A
MZC04	MEGGRADAXIAL	T	600	N/A
MZF01	MEGGRADAXIAL	T	600	N/A
MZF02	MEGGRADAXIAL	T	600	N/A
MZF03	MEGGRADAXIAL	T	600	N/A
MZO01	MEGGRADAXIAL	T	600	N/A
MZO02	MEGGRADAXIAL	T	600	N/A
MZO03	MEGGRADAXIAL	T	600	N/A
MZP01	MEGGRADAXIAL	T	600	N/A
UADC009	EYEGAZE	V	600	X-position
UADC010	EYEGAZE	V	600	Y-position
UADC013	PUPIL	V	600	Diameter
UADC016	ADC	unknown	600	N/A
